PlayerID,PlayerName
16652,Ryohei Shirasaki
16655,Renatinho
16657,Shun Takagi
16661,Yusuke Goto
16715,Takeshi Kanamori
16726,Gakuto Notsuda
16728,Takuma Asano
16731,Yuzuru Shimada
16741,Ri Yong-Jik
16763,Daiki Tomii
16774,Kengo Nagai
16790,Fábio Aguiar
16792,Takuya Kida
16799,Yuki Honda
16800,Takumi Minamino
16801,Gu Sung-Yun
16812,Kosuke Nakamura
16814,Kazuki Kozuka
16815,Naoki Kawaguchi
16817,Ayumi Niekawa
16822,Yuta Toyokawa
16823,Naomichi Ueda
16825,Cristiano
16826,Yosuke Yuzawa
16836,Genta Miura
16851,Shoya Nakajima
16852,Kyohei Yoshino
16854,Akira Ibayashi
16855,Naoki Maeda
16857,William Popp
16858,Yuki Nogami
16862,Masaya Matsumoto
16864,Hirotaka Mita
16868,Kazuki Fukai
16869,Yuto Horigome
16870,S. Nakahara
16872,Hideki Ishige
16873,Takuya Iwanami
16877,Gakuji Ota
17003,Felix Götze
17007,A. Esswein
17009,P. Dardai
17010,Moritz Nicolas
17033,Joshua Quarshie
17034,K. Ama Tchoutchoui
17038,Adewale Olufade
17063,Nikola Mituljikic
17068,Chidera Okoh
17069,Samed Bazdar
17074,Chris Führich
17076,Adrian Chovan
17083,Guilherme Ramos
17099,Oscar Gloukh
17195,Kiran Chemjong
17196,Bishal Shrestha
17197,Biraj Maharjan
17198,Kamal Shrestha
17199,D. Rajbansi
17200,Ananta Tamang
17201,Jung Karki
17202,Rohit Chand
17203,Rajendra Rawal
17204,Jagajeet Shrestha
17205,Bikram Lama
17206,Bishal Rai
17207,Heman Gurung
17208,Sunil Bal
17209,Thapa Magar
17210,Bikesh Kuthu
17252,Oliver Baumann
17254,Kevin Akpoguma
17255,Kevin Vogt
17256,Dennis Geiger
17258,Luka Stojanovic
17259,David Nemeth
17260,Martin Zeman
17262,Joscha Wosz
17264,Paul Nebel
17291,Benjamin Hübner
17292,Vincenzo Grifo
17296,L. Bittencourt
17543,Ebrahim Al Khatal
17554,Florian Schock
17555,Felix Uduokhai
17557,Gian-Luca Itter
17559,Felix Klaus
17561,David Abraham
17566,Ibrahim Al Wali
17571,N. Hauptmann
17572,M. Mittelstadt
17573,L. Klünter
17574,Arne Maier
17592,Rotana Sor
17593,Andreas Luthe
17595,Jonathan Schmid
17600,Luca Netz
17602,R. Framberger
17604,Stefan Bell
17605,Alexander Hack
17606,D. Brosinski
17607,Danny Latza
17608,Robin Zentner
17614,Florian Müller
17620,Ihlas Bebou
17630,Sarenren Bazee
17632,A. Schwolow
17633,Manuel Gulde
17635,Lukas Kübler
17638,Nicolas Höfler
17640,M. Stefaniak
17643,Diego Santis
17645,Dominique Heintz
17646,K. Schlotterbeck
17652,Janik Haberer
17653,Dominik Preisler
17655,Lucas Höler
17656,F. Niederlechner
17659,Jean Zimmer
17660,Niko Gießelmann
17671,Anton Stach
17675,Kevin Stöger
17842,Zoran Popović
17846,Marko Gobeljić
17848,Noah Weisshaupt
17851,David Mamutovic
17852,Petar Stanic
17854,Irfan Bachdim
30034,Haris Medunjanin
30059,Kenneth Vermeer
30113,Rodrigo Palacio
30173,Diego Lugano
30189,Valon Behrami
30199,Yuri Zhirkov
30210,Yaya Touré
30235,Gonzalo Castro
